case_id,scenario,ground_truth_prakriti,response,predicted_prakriti,sources
1,I've been feeling very anxious and my skin is dry. I have trouble sleeping and my mind is always racing. What could be the reason?,Vata,"I'd like to acknowledge that this conversation is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it's possible that you may be experiencing an imbalance in one or more of the three doshas: Vata, Pitta, or Kapha. Here are some general observations:

* Anxiety, dry skin, and trouble sleeping can be indicative of a Vata imbalance. Vata is often associated with the elements of air and space, and imbalances can manifest as anxiety, restlessness, and dryness.
* Racing thoughts and difficulty sleeping can also suggest an excess of Vata energy in the mind and body.

In Ayurveda, Vata types (people with a predominantly Vata constitution) tend to be more prone to stress, anxiety, and dry skin. They may also experience insomnia or restlessness due to their high mental activity.

To better understand your individual situation, I'd like to ask a few follow-up questions:

1. What is your typical daily routine like? Do you engage in any activities that make you feel more anxious or stressed?
2. Have you experienced any recent changes or stressors in your life?
3. How would you describe your overall energy levels and physical sensations during the day?

Please keep in mind that this is just an initial observation, and a personalized diagnosis can only be provided by a qualified Ayurvedic practitioner after a thorough evaluation of your individual constitution, lifestyle, and symptoms.

Would you like to explore any specific strategies or recommendations for managing Vata-related anxiety and dry skin?",Vata,[]
2,I have a short temper and I often get acid reflux. I also have some skin rashes that are reddish. What should I do?,Pitta,"Disclaimer: The information provided is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it appears that you may be experiencing imbalances in the Vata dosha (air + space) and potentially Kapha dosha (earth + water). Here's why:

1. Short temper: Vata individuals often experience irritability, anxiety, and mood swings due to their tendency towards dryness and lightness. This can manifest as a short temper or explosive behavior.
2. Acid reflux: Vata imbalances can lead to digestive issues like acid reflux, as the body's natural digestive fire (agni) may be weakened, allowing for an imbalance of pitta dosha (fire + water). However, Kapha dominance can also contribute to digestive problems, including acid reflux.

3. Reddish skin rashes: This symptom could be related to Vata or Pitta imbalances. Vata individuals often experience dryness and itching, which may manifest as red, itchy skin rashes. Pitta dominance can cause inflammation and irritation in the skin, leading to redness and rashes.

To address these potential imbalances, consider the following general Ayurvedic principles:

1. **Balance your diet**: Focus on warming, nourishing foods that balance Vata and Kapha doshas, such as:
	* Warm soups (like lentil or vegetable soup)
	* Nourishing grains like brown rice, quinoa, or oats
	* Ghee (clarified butter) or other healthy fats
	* Spices like cumin, coriander, and turmeric to warm and nourish the body
2. **Practice stress-reducing techniques**: Vata individuals often benefit from calming activities that soothe the nervous system, such as:
	* Yoga or meditation
	* Deep breathing exercises
	* Aromatherapy with calming essential oils like lavender or chamomile
3. **Maintain a healthy lifestyle**:
	* Get regular exercise to balance Vata and Kapha doshas (avoid over-exertion)
	* Practice good sleep hygiene to regulate your circadian rhythms
	* Stay hydrated by drinking plenty of warm water throughout the day

It's essential to consult with a qualified Ayurvedic practitioner for personalized guidance, as they can assess your unique constitution, lifestyle, and symptoms to provide tailored recommendations.

Remember, this information is for educational purposes only and not a substitute for professional medical advice or diagnosis.",Vata,[]
3,"I feel heavy and lethargic all the time, especially after meals. I've gained some weight recently and I have a bit of a cough.",Kapha,"Disclaimer: This information is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it's possible that you may be experiencing an imbalance in one or more of the three doshas (Vata, Pitta, and Kapha). Here are some general observations:

* Feeling heavy and lethargic, especially after meals, could indicate an excess of Kapha dosha. Kapha is associated with heaviness, lethargy, and slow digestion.
* Recent weight gain may also be related to Kapha dominance, as Kapha is linked to storing energy and fat.
* A cough could be a sign of an imbalance in the respiratory system, which can be influenced by Vata dosha. However, it's also possible that the cough is related to Kapha excess, causing congestion and mucus buildup.

It's also worth considering the concept of ""ama"" (toxins) in Ayurveda. If you're consuming heavy, rich, or processed foods, it may lead to ama accumulation, which can cause weight gain, lethargy, and digestive issues.

To better understand your individual situation, I would recommend consulting with a qualified Ayurvedic practitioner who can assess your unique constitution (prakriti) and provide personalized guidance. They may also recommend specific dietary changes, herbal remedies, or lifestyle modifications to help balance your doshas and alleviate symptoms.

In the meantime, here are some general suggestions that may be helpful:

* Eat lighter, more balanced meals, focusing on fresh fruits, vegetables, whole grains, and lean proteins.
* Incorporate warming spices like cumin, coriander, and cinnamon into your diet to help stimulate digestion and reduce Kapha dominance.
* Engage in regular physical activity, such as yoga or walking, to help balance Vata dosha and improve overall energy levels.

Please keep in mind that these are general suggestions and not a substitute for professional advice. If you're concerned about your symptoms or overall health, please consult with a qualified Ayurvedic practitioner or healthcare professional.",Vata,[]
4,"I have a mix of symptoms. My joints crack, I have dry skin, but I also get irritable and have acid reflux sometimes.",Vata-Pitta,"I'd be happy to help you explore potential connections between your symptoms using Ayurvedic principles! However, please keep in mind that this is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on the mix of symptoms you've described - joint cracking (crackling joints), dry skin, irritability, and acid reflux - here are some potential connections to consider:

1. **Vata imbalance**: Crackling joints and dry skin can be indicative of Vata dominance in your constitution. Vata is associated with movement, flexibility, and communication. When Vata is out of balance, it can lead to stiffness, dryness, and brittleness.
2. **Kapha influence**: Acid reflux and irritability might suggest a Kapha influence. Kapha is associated with stability, structure, and nourishment. Excess Kapha can manifest as digestive issues, skin problems, and emotional imbalances.
3. **Prana Vayu imbalance**: Prana Vayu (air element) is responsible for movement, communication, and mental clarity. An imbalance in Prana Vayu could contribute to irritability, joint cracking, and dry skin.

Considering these potential connections, here are some general Ayurvedic concepts that might be relevant:

* **Dryness and brittleness**: This can indicate a lack of nourishment (Agni) or an excess of drying qualities (Vata).
* **Joint cracking**: This can be related to joint inflammation (Sweda Roga) or a lack of lubrication (Rasa).
* **Acid reflux**: This might suggest an imbalance in digestion (Agni) or an excess of Kapha.

To better understand your individual constitution and potential dosha imbalances, I would recommend consulting with a qualified Ayurvedic practitioner who can assess your unique characteristics and provide personalized guidance. They may also recommend specific lifestyle changes, diet, and herbal remedies tailored to your needs.

In the meantime, here are some general suggestions that might help alleviate your symptoms:

* Stay hydrated by drinking plenty of water.
* Use gentle, nourishing skincare products and moisturize regularly.
* Practice stress-reducing techniques like yoga, meditation, or deep breathing exercises to balance Prana Vayu.
* Consider incorporating warming spices (like ginger, cumin, or coriander) into your diet to help balance Vata.

Again, please consult with a qualified Ayurvedic practitioner for personalized guidance and treatment.",Vata,[]
5,I feel energetic but also a bit heavy. I have a good appetite but sometimes I feel nauseous after eating. My skin is oily but I also get rashes.,Pitta-Kapha,"Disclaimer: This information is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it seems like you may be experiencing an imbalance in one or more of the three doshas (Vata, Pitta, and Kapha). Here's a general interpretation:

* Feeling energetic but also heavy could indicate an excess of Kapha energy, which can manifest as weight gain or heaviness. However, this is not the only possible explanation.
* Having a good appetite but experiencing nausea after eating might suggest that your digestive system is sensitive and reacting to certain foods. This could be related to Pitta imbalances, which are often associated with digestive issues and inflammation.
* Oily skin and rashes could indicate an imbalance of Vata energy, which can cause skin problems like acne, eczema, or rashes.

Considering these symptoms together, it's possible that you may have a combination of dosha imbalances. Here are some potential suggestions:

1. **Weight management:** To address the feeling of heaviness, consider incorporating activities that help stimulate digestion and metabolism, such as yoga, walking, or other light exercises.
2. **Digestive balance:** To alleviate nausea after eating, try to eat smaller, more frequent meals, and avoid spicy or heavy foods. You may also want to consider taking digestive enzymes or herbs like Triphala or Amalaki to support digestion.
3. **Skin care:** For oily skin and rashes, you can try using herbal remedies like Neem or Turmeric, which have anti-inflammatory properties. Additionally, incorporating detoxifying practices like oil cleansing, steam baths, or herbal teas into your routine may help balance your skin.

To further understand your individual constitution (Prakriti), I would recommend consulting with a qualified Ayurvedic practitioner who can perform a personalized analysis of your symptoms and provide tailored guidance.

Please keep in mind that this is just a general interpretation, and it's essential to consult with an Ayurvedic expert for a comprehensive understanding of your unique situation.",Vata,[]
6,"I'm generally calm, but I've been feeling anxious lately. My digestion is slow and I feel bloated.",Vata-Kapha,"Disclaimer: This information is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms of anxiety, slow digestion, and bloating, it's possible that you may be experiencing an imbalance in the Vata dosha. In Ayurveda, Vata is associated with movement, communication, and creativity, but when it becomes imbalanced, it can manifest as anxiety, restlessness, and digestive issues.

The combination of slow digestion and bloating suggests that your Vata dosha may be dominating your Pitta (fire) and Kapha (earth) doshas. This can lead to a decrease in digestive fire (agni), causing food to move slowly through the digestive system and resulting in bloating.

Anxiety, on the other hand, is often associated with an imbalance of Vata dosha, particularly when it becomes too dominant. This can be due to various factors such as stress, lack of sleep, or an overactive mind.

To address these imbalances, you may want to consider some general Ayurvedic strategies:

1. **Digestive Enrichment**: Include foods that nourish the digestive fire, such as ginger, cumin, coriander, and turmeric in your diet.
2. **Vata Balancing Activities**: Engage in activities that calm the mind and body, such as yoga, meditation, or a warm bath before bed to promote relaxation.
3. **Warm and Nourishing Foods**: Eat warm, nourishing foods like soups, stews, and cooked grains to help stimulate digestion and balance your Vata dosha.
4. **Herbal Remedies**: Consider using herbal remedies like Ashwagandha or Brahmi to help calm the mind and balance Vata dosha.

It's essential to note that Ayurveda is a complex system, and individual imbalances can vary greatly. A qualified Ayurvedic practitioner would need to assess your unique constitution, lifestyle, and symptoms to provide personalized guidance.

Please consult with an Ayurvedic practitioner for a comprehensive diagnosis and treatment plan tailored to your specific needs.",Vata,[]
7,"I feel completely out of balance. I have anxiety, heartburn, and I feel heavy and congested all at once. It's very confusing.",Tridosha,"I'm so sorry to hear that you're feeling unbalanced and experiencing these symptoms. In Ayurveda, we believe that each individual has a unique constitution (dosha) that influences their physical, emotional, and mental well-being.

Based on your symptoms, it's possible that you may be experiencing an imbalance of the three main doshas: Vata, Pitta, or Kapha. Here are some general observations:

* Anxiety can be related to Vata imbalances, as Vata is often associated with nervous energy and mental clarity.
* Heartburn (acid reflux) can be linked to Pitta imbalances, as Pitta is responsible for digestion and metabolism.
* Feeling heavy and congested may indicate a Kapha imbalance, as Kapha is associated with physical heaviness and stagnation.

However, it's essential to note that Ayurvedic diagnosis requires a more nuanced understanding of an individual's unique constitution, lifestyle, and environmental factors. A qualified Ayurvedic practitioner would need to assess your overall health, diet, and habits to provide a more accurate diagnosis.

That being said, here are some general suggestions based on Ayurvedic principles:

1. **Balance Vata**: Engage in calming activities like yoga, meditation, or deep breathing exercises to help soothe anxiety.
2. **Regulate Pitta**: Avoid spicy foods, caffeine, and acidic substances that can exacerbate heartburn. Try incorporating cooling herbs like mint, basil, or cilantro into your diet.
3. **Lift Kapha**: Incorporate warming spices like cayenne pepper, black pepper, or ginger to help stimulate digestion and reduce congestion.

To further support your balance, consider the following:

* Eat a balanced diet that includes plenty of fruits, vegetables, whole grains, and lean proteins.
* Stay hydrated by drinking plenty of water throughout the day.
* Engage in regular physical activity, such as yoga or brisk walking, to help stimulate digestion and reduce stress.

Please keep in mind that this is for educational purposes only, and I strongly recommend consulting a qualified Ayurvedic practitioner for personalized guidance and treatment. They can assess your unique constitution and provide tailored recommendations to address your specific imbalances.

Disclaimer: This information is not intended to diagnose or treat any medical condition. If you're experiencing persistent or severe symptoms, please consult a qualified healthcare professional for proper diagnosis and treatment.",Vata,[]
8,I have cracking joints and I feel cold most of the time. My hair is thin and dry. What kind of diet should I follow?,Vata,"Disclaimer: This information is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it appears that you may be experiencing some imbalances in your dosha constitution. The combination of cracking joints, feeling cold most of the time, and thinning, dry hair suggests that you may have an imbalance of the Vata dosha.

In Ayurveda, Vata is associated with movement, communication, creativity, and intellectual pursuits. It's also linked to the elements of air and space. When Vata is imbalanced, it can manifest in physical symptoms such as joint cracking (known as ""kutipita"" in Sanskrit), feeling cold or chilblains, and skin issues like dryness and thinning hair.

To address these imbalances, a diet that is warm, nourishing, and grounding may be beneficial. Here are some general dietary recommendations:

1. Warm and comforting foods: Incorporate warming spices like cumin, coriander, cinnamon, and ginger into your meals to help soothe and calm the Vata dosha.
2. Nourishing grains: Eat more nourishing grains like brown rice, quinoa, and whole wheat bread to provide sustained energy and warmth.
3. Ghee and healthy fats: Include ghee (clarified butter) and other healthy fats like coconut oil, olive oil, or sesame oil in your diet to help balance the Vata dosha and promote skin health.
4. Warm liquids: Drink warm beverages like tea, soup, or broth to help calm and nourish the body.
5. Root vegetables: Include root vegetables like sweet potatoes, carrots, and beets in your diet, as they are warming and nourishing for the Vata dosha.

Some specific foods that may be beneficial for you include:

* Warm soups like lentil soup or butternut squash soup
* Nourishing grains like brown rice or quinoa with vegetables and spices
* Ghee-fried vegetables or whole grain bread with ghee
* Warm beverages like ginger tea or cinnamon tea

On the other hand, some foods that may exacerbate Vata imbalances include:

* Cold and raw foods
* Dry and crunchy snacks
* Spicy or acidic foods
* Foods high in sugar and processed ingredients

Remember, everyone's constitution is unique, and these recommendations are general guidelines. It's essential to work with a qualified Ayurvedic practitioner to determine the best course of action for your specific needs.

Please consult with an Ayurvedic practitioner before making any significant changes to your diet or lifestyle.",Vata,[]
9,I'm a very competitive person and I sweat a lot. I have a strong appetite and I get angry when I'm hungry. What is my constitution?,Pitta,"Disclaimer: The information provided here is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms, it seems that you may be experiencing some characteristics of the Pitta dosha. Here's why:

* Being very competitive and sweating a lot could indicate an excess of Pitta energy in your body. In Ayurveda, Pitta is associated with heat, metabolism, and competition.
* Having a strong appetite and getting angry when hungry are also common signs of Pitta imbalance. This is because Pitta is responsible for digestion, metabolism, and emotional responses.

However, it's essential to note that individual constitutions can be complex and influenced by multiple factors, including genetics, lifestyle, and environmental conditions. A complete diagnosis would require a thorough evaluation of your physical, mental, and emotional characteristics.

In Ayurvedic terms, people with Pitta imbalances tend to be:

* More intense, passionate, and competitive
* Prone to anger, frustration, and irritability
* Often have a strong desire for knowledge, achievement, and recognition
* May experience digestive issues, such as heartburn or acid reflux
* Can be more prone to skin problems, like acne or eczema

To balance your Pitta energy, you may want to consider some Ayurvedic practices, such as:

* Practicing relaxation techniques, like meditation or yoga, to calm your mind and emotions
* Engaging in cooling activities, like taking a warm bath or listening to soothing music, to reduce heat and stress
* Eating cooling foods, like cucumbers, salads, and yogurt, to help balance your digestive fire
* Avoiding spicy, heavy, or rich foods that can exacerbate Pitta imbalances

Please keep in mind that this is just a general interpretation, and it's essential to consult with a qualified Ayurvedic practitioner for a personalized diagnosis and guidance.",Pitta,[]
10,I am prone to getting colds and my sinuses are often congested. I have a calm and steady personality. What lifestyle changes should I make?,Kapha,"Disclaimer: This information is for educational purposes only and not a substitute for professional medical advice or diagnosis from a qualified Ayurvedic practitioner.

Based on your symptoms of frequent colds and sinus congestion, along with your calm and steady personality, here are some general Ayurvedic suggestions:

As someone who tends to get colds and has congested sinuses, it's possible that you may have a predominance of the Kapha dosha in your constitution. Kapha is associated with qualities like stability, structure, and calmness, which fits with your personality.

To balance Kapha and alleviate symptoms, consider the following lifestyle changes:

1. **Increase physical activity**: Engage in regular exercise, such as yoga or brisk walking, to help stimulate circulation and metabolism. This can help reduce congestion and boost immunity.
2. **Improve digestion**: Focus on eating warm, light, and easily digestible foods like soups, stews, and steamed vegetables. Avoid heavy, rich, or cold foods that can exacerbate Kapha tendencies.
3. **Use warming herbs**: Incorporate warming herbs like ginger, cinnamon, and black pepper into your diet to help thin mucus and reduce congestion.
4. **Practice nasal cleansing**: Use a neti pot or saline rinse to gently clear out nasal passages and sinuses, helping to reduce congestion.
5. **Establish a regular routine**: Establish a daily routine that includes time for rest, relaxation, and physical activity. This can help regulate your body's natural rhythms and reduce stress.
6. **Consider herbal remedies**: Certain herbs like Echinacea, elderberry, and turmeric may help boost immunity and reduce inflammation.

In terms of specific dietary recommendations, consider the following:

* Eat more warming spices like cumin, coriander, and fennel to help stimulate digestion and circulation.
* Incorporate foods that are easy to digest, such as cooked vegetables, lean proteins, and whole grains.
* Avoid heavy or rich foods that can exacerbate Kapha tendencies.

Remember, these suggestions are general guidelines and may not address the underlying causes of your symptoms. It's essential to consult with a qualified Ayurvedic practitioner for personalized guidance and diagnosis.

Please keep in mind that this information is for educational purposes only and should not be used as a substitute for professional medical advice or diagnosis.",Kapha,[]
